A,C,E,G,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,CP,CQ,CR,CS,CT,CU
Customer Success,CSID v20250826,,,Basic,,,,,,Issues,Gheads response time - emails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If everything here is on green, and results are still poor - that means offer is to weak",,,,,,Gheads growth - emails,,,,,,,,,,,,,,,,,,,,,,,,,,
"Customer
Name","Smartlead
ID",Bison Workspace ID,Client Status,Inboxes,Prospects Signed,cold emails,,cold LinkedIn,,,"DoD Schedule
for cold @ & LI",,,"DoD Daily sent
for cold @ & LI",,,,,"3DoD
TOTAL leads received",,,,,"3DoD
SQL leads received",,,,,"WoW
Bounce rate",,,,"WoW
Total response rate",,,,"WoW
Human response rate",,,,"WoW
Out of office rate",,,,"WoW
Invitation acceptance rate",,,,"WoW
TOTAL leads received",,,,"WoW
SQL leads received",,,,"2Wo2W
Next
IP health","2Wo2W
Next
domains health","2Wo2W
Next
warmup health","2Wo2W
Next
copy health","2Wo2W
Next
funnel health","2Wo2W
Next
insights","MoM
TOTAL leads received",,,,"MoM
SQL leads received",,,,,"MoM
Meetings rate",,,,,"MoM
WONs rate",,,,,"MoM additional LI
MQL leads received",,,,"MoM additional LI
Meetings received",,,
,,,,,,Prospects Added,Min Sent,Remaining database,Invitations limit,,+2,+1,0,0,-1,-2,-3,-4,0,-1,-2,-3,-4,0,-1,-2,-3,-4,0,-1,-2,-3,0,-1,-2,-3,0,-1,-2,-3,0,-1,-2,-3,0,-1,-2,-3,0,-1,-2,-3,0,-1,-2,-3,,,,,,,0,-1,-2,-3,L-KPI,0,-1,-2,-3,M-KPI,0,-1,-2,-3,W-KPI,0,-1,-2,-3,0,-1,-2,-3,0,-1,-2,-3
Pivotal,,100,Active,160,5000,0,750,,,ok,0,57,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0092,0,0.2325,0.0317,0.0472,0,0.093,0.0081,0.0118,0,0.1395,0.0236,0.0354,0,0,0,0,0,1,4,16,0,0,2,15,,,,,,,24,33,63,12,10,20,20,39,11,,0,0,0,0,,0,0,0,0,,,,,,,,
Fab.Marketingu,,94,Active,150,5000,0,750,,,ok,1,23,22,8,0,0,249,477,0,0,0,0,1,0,0,0,0,0,0,0,0.0017,0.0013,0,0.0242,0.039,0.0221,0,0.0047,0.0095,0.0049,0,0.0195,0.0295,0.0172,0,0,0,0,0,4,5,5,0,3,3,5,,,,,,,15,34,26,47,10,12,16,17,35,,0,0,0,0,,0,0,0,0,,,,,,,,
Bent Iron PL,,73,Active,69,2500,0,375,9611,24,dograć kanały,340,369,321,151,0,20,315,312,0,0,0,0,0,0,0,0,0,0,0.0074,0.002,0.0068,0.0109,0.0074,0.0298,0.0231,0.012,0,0.004,0.0075,0.0011,0.0074,0.0258,0.0156,0.0109,0,0,0,0,0,2,7,1,0,1,5,1,,,,,,,17,11,18,40,10,9,3,8,15,,0,0,0,0,,0,0,0,0,,,,,,,,
Bent Iron UA,,110,Active,30,2000,0,300,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,6,6,0,10,0,1,5,0,,0,0,0,0,,0,0,0,0,,,,,,,,
UniTalk,,36,Active,150,5000,3195,750,0,20,ok,152,771,756,415,0,0,676,763,1,0,0,3,3,1,0,0,0,0,0.0024,0.0026,0.003,0.0016,0.041,0.0504,0.0498,0.0482,0.0241,0.0174,0.015,0.0144,0.0169,0.033,0.0348,0.0338,0,0,0,0,1,18,16,18,1,6,12,4,,,,,,,62,47,64,45,20,28,20,32,27,,0,0,0,0,,0,1,0,1,,,,,,,,
Runmageddon,64796,11,Active,60,2000,1451,300,9651,40,ok,41,247,45,3,0,0,241,327,2,0,0,0,6,2,0,0,0,5,0,0.0051,0.0098,0.0023,0.6667,0.0357,0.0721,0.0393,0.6667,0.0124,0.0158,0.0053,0,0.0233,0.0563,0.034,0,0,0,0,2,12,18,8,2,9,10,4,,,,,,,48,62,25,50,10,27,29,10,20,,0,0,0,0,,0,0,0,0,,,,,,,,
Kaizen rent,,123,Active,30,2000,1622,300,,,ok,250,255,255,143,0,0,250,250,2,0,1,3,3,2,0,0,2,0,0,0.004,0.0008,0.0008,0.021,0.0385,0.0427,0.0398,0.021,0.0241,0.0156,0.0216,0,0.0144,0.0271,0.0182,0,0,0,0,2,19,7,14,2,7,4,8,,,,,,,51,65,14,0,10,26,35,9,0,,0,0,0,0,,0,0,0,0,,,,,,,,
