Client,E-DMS,PB-E,MQL,ME,Response Count,Bounce count,WON,Date,Inboxes,Prospects Count,Week,Month,Year,MQL Diff,ME Diff,WON Diff,Client Name,Sequencer,Negative,Out of Office Accumulated,Human Replies,Human Replies Accumulated,Out of Office,Schedule volume for Today,Schedule volume for Tomorrow,Schedule volume for Day after tomorrow,Invitations sent,Schedule volume for Today (Aimfox),Schedule volume for Tomorrow (Aimfox),Schedule volume for Day after tomorrow (Aimfox)
50475,0,0,0,0,0,0,0,2025-04-21,464,1843,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-21,464,1843,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-21,36,1285,17,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-21,160,931,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-22,464,1843,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-22,36,1285,17,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-22,160,931,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-23,464,1843,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-23,36,1285,17,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-23,160,931,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-24,464,1843,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-24,36,1285,17,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-24,160,931,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-25,464,1843,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-25,36,1285,17,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-25,160,931,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-26,464,1843,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-26,36,1285,17,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-26,160,931,17,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-27,464,1843,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-27,36,1285,18,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-27,160,931,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-28,464,1843,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-28,36,1285,18,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-28,160,931,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-29,464,1843,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-29,36,1285,18,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-29,160,931,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-04-30,464,1843,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-04-30,36,1285,18,4,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-04-30,160,931,18,4,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-01,464,1843,18,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-01,36,1285,18,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-01,160,931,18,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-02,464,1843,18,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-02,36,1285,18,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-02,160,931,18,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-03,464,1843,18,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-03,36,1285,18,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-03,160,931,18,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,0,0,0,0,0,0,0,2025-05-04,464,1843,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-04,36,1285,19,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-04,160,931,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,320,0,0,0,3,2,0,2025-05-05,464,1843,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-05,36,1285,19,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-05,160,931,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,995,0,3,0,22,8,0,2025-05-06,464,1843,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-06,36,1285,19,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-06,160,931,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,601,0,2,0,24,3,0,2025-05-07,464,1843,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-07,36,1285,19,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-07,160,931,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,250,0,1,0,4,1,0,2025-05-08,464,1843,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50705,0,0,0,0,0,0,0,2025-05-08,36,1285,19,5,,,,,,Smartlead,,,,0,,,,,,,,
51212,0,0,0,0,0,0,0,2025-05-08,160,931,19,5,,,,,,Smartlead,,,,0,,,,,,,,
50475,1,0,0,0,0,0,0,2025-05-09,464,1843,19,5,,,,,,Smartlead,,,,0,,,,,,,,
